arg_line_id,arg_instance_id,arg_ref_id,arg_ref_name,argument_text,email_id,created_at,speaker_name,speaker_email,speaker_role,topic_id,topic_side,reasoning_name,sophism_name,sophism_category,fact_ref_id,fact_veracity_pct,relevance,reasoning_credibility,impact_score,impact_direction,hidden_topic_hint,hidden_topic_confidence,strength,needs_review,notes
ARG-L-0000001,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000002,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000003,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000004,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000005,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000006,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000007,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000008,ARGI-1c2e504d0e,ARREF-e372ac9b3c,(argument),,2024:1,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000009,ARGI-9ff984da74,ARREF-e372ac9b3c,(argument),,2024:2,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
ARG-L-0000010,ARGI-9ff984da74,ARREF-e372ac9b3c,(argument),,2024:2,2025-08-21T18:40:13Z,,,Other,TOP-NA,con,,,,FREF-d5ef31a5eb,25,0.5,0.5,0.5,positive,,0.0,0.0312,1,
